label,seconds,m,lambda,mu
http08_12_1,0.05,7,1150,200
http08_12_2,0.05,7,1150,200
http08_12_3,0.1,7,1150,200
http08_12_4,0.1,7,1150,200
http08_12_5,0.2,7,1150,200
http08_12_6,0.2,7,1150,200
http08_12_7,0.4,7,1150,200
http08_12_8,0.4,7,1150,200
http08_12_9,14400,7,1150,200
http12_15_1,0.05,3,500,200
http12_15_2,0.05,3,500,200
http12_15_3,0.1,3,500,200
http12_15_4,0.1,3,500,200
http12_15_5,0.2,3,500,200
http12_15_6,0.2,3,500,200
http12_15_7,0.4,3,500,200
http12_15_8,0.4,3,500,200
http12_15_9,10800,3,500,200
http15_20_1,0.05,6,1000,200
http15_20_2,0.05,6,1000,200
http15_20_3,0.1,6,1000,200
http15_20_4,0.1,6,1000,200
http15_20_5,0.2,6,1000,200
http15_20_6,0.2,6,1000,200
http15_20_7,0.4,6,1000,200
http15_20_8,0.4,6,1000,200
http15_20_9,18000,6,1000,200
http20_24_1,0.05,2,300,200
http20_24_2,0.05,2,300,200
http20_24_3,0.1,2,300,200
http20_24_4,0.1,2,300,200
http20_24_5,0.2,2,300,200
http20_24_6,0.2,2,300,200
http20_24_7,0.4,2,300,200
http20_24_8,0.4,2,300,200
http20_24_9,14400,2,300,200
http24_08_1,0.05,1,100,200
http24_08_2,0.05,1,100,200
http24_08_3,0.1,1,100,200
http24_08_4,0.1,1,100,200
http24_08_5,0.2,1,100,200
http24_08_6,0.2,1,100,200
http24_08_7,0.4,1,100,200
http24_08_8,0.4,1,100,200
http24_08_9,28800,1,100,200
